experiment	tag	kernel_type	throughput_tflops	latency_us	pct_peak	speedup_vs_pytorch	correctness	peak_vram_mb	description
0	baseline	quantized_matmul_w4a16	15.135	7094.65	3.6	0.231	PASS	1603.2	Baseline 32x32x32 blocks with per-element dequant
21	autotune_l2swizzle	quantized_matmul_w4a16	136.8	785.0	32.6	2.10	PASS	1603.2	22 autotune configs with L2 swizzle
29	two_level_k	quantized_matmul_w4a16	143.9	746.3	34.3	2.20	PASS	1603.2	Two-level K tiling hoisting scale/zero loads
32	persistent_4x	quantized_matmul_w4a16	153.4	699.9	36.6	2.34	PASS	1603.2	Persistent kernel 680 programs + two-level K
34	persistent_stages	quantized_matmul_w4a16	155.7	689.8	37.2	2.38	PASS	1603.2	Persistent + stages=4 + expanded configs
35	revert_k128	quantized_matmul_w4a16	128.8	834.0	30.7	1.92	PASS	1603.2	BLOCK_SIZE_K=128 aligned to group_size (reverted)
36	flat_k_loop	quantized_matmul_w4a16	170.4	630.2	40.7	2.63	PASS	1603.2	Flatten K loop, simplify masks, remove nested group loop
39	constexpr_group	quantized_matmul_w4a16	177.5	605.0	42.4	2.66	PASS	1603.2	Make group_size a constexpr QUANT_GROUP_SIZE
60	dequant_cublas	quantized_matmul_w4a16	188.2	571.0	44.9	2.88	PASS	1603.2	Split: Triton dequant kernel + cuBLAS FP16 matmul
61	dequant_flinear	quantized_matmul_w4a16	196.1	548.0	46.8	3.04	PASS	1603.2	Transposed dequant + F.linear (NT cuBLAS gemm)
62	aligned_blocks	quantized_matmul_w4a16	196.6	546.2	46.9	2.98	PASS	2247.8	Optimize for BLOCK_SIZE_K==group_size alignment
63	more_configs	quantized_matmul_w4a16	197.9	542.5	47.2	2.95	PASS	2247.8	Expanded autotune configs with larger blocks
74	dequant_caching	quantized_matmul_w4a16	215.0	500.0	51.3	3.26	PASS	2247.8	Dequant weight caching by tensor identity
75	fp16_accum	quantized_matmul_w4a16	290.0	370.0	69.2	4.40	PASS	2247.8	FP16-accumulate Triton matmul (out_dtype=fp16)
76	trim_configs	quantized_matmul_w4a16	290.0	370.0	69.2	4.40	PASS	2247.8	Trim autotune configs to top performers
77	persistent_matmul	quantized_matmul_w4a16	278.0	386.2	66.4	4.24	REVERT	2247.8	Persistent matmul kernel 680 programs (reverted: -12 TFLOPS)
78	pure_fp16_acc	quantized_matmul_w4a16	0.0	0.0	0.0	0.00	FAIL	0.0	Pure FP16 accumulator (compile error)
79	expanded_configs	quantized_matmul_w4a16	285.0	376.6	68.1	4.33	REVERT	2247.8	Expanded autotune for non-square shapes (reverted: -5)
80	imprecise_acc	quantized_matmul_w4a16	218.7	490.9	52.2	3.34	REVERT	2247.8	max_num_imprecise_acc=BK (reverted: -71)
81	cublas_all_m	quantized_matmul_w4a16	218.2	492.0	52.1	3.27	REVERT	2247.8	cuBLAS F.linear for all M sizes (reverted: -72)
82	bk128_triton36	quantized_matmul_w4a16	327.0	328.4	78.0	4.89	PASS	2247.8	BK=128 configs + Triton 3.6.0 upgrade
83	bk128_stages3	quantized_matmul_w4a16	321.0	334.3	76.7	4.88	REVERT	2247.8	BK=128 stages=3 + G=16 (reverted: noise)
84	dot_scaled_fp16	quantized_matmul_w4a16	216.6	496.0	51.7	3.27	REVERT	2247.8	tl.dot_scaled fp16 format (reverted: software emulation)
85	warps16	quantized_matmul_w4a16	325.7	329.7	77.7	4.96	REVERT	2247.8	num_warps=16 variants (reverted: noise)
86	trim_top4	quantized_matmul_w4a16	328.8	326.6	78.5	4.92	PASS	2247.8	Trim autotune to top 4 configs (BK=128 focus)
87	l2_group_sweep	quantized_matmul_w4a16	322.0	333.4	76.9	4.89	REVERT	2247.8	L2 grouping sweep G=8/16/32 for BK=128 (reverted)
88	ieee_precision	quantized_matmul_w4a16	327.1	328.5	78.1	4.88	REVERT	2247.8	input_precision=ieee (reverted: no change)
89	aligned_nocheck	quantized_matmul_w4a16	328.9	327.2	78.5	4.93	PASS	2247.8	ALIGNED flag skips boundary checks for aligned shapes
90	cublas_m64	quantized_matmul_w4a16	321.9	333.5	76.8	4.91	REVERT	2247.8	cuBLAS threshold M<=64 (reverted: slight regression)
91	bm256_bn128	quantized_matmul_w4a16	319.3	336.3	76.2	4.84	REVERT	2247.8	BM=256 BN=128 BK=128 swapped aspect ratio (reverted)
92	order_01	quantized_matmul_w4a16	329.7	325.7	78.7	5.04	REVERT	2247.8	order=(0,1) row-major layout hint (reverted: within noise)
93	warps4_bk128	quantized_matmul_w4a16	323.3	332.1	77.2	4.92	REVERT	2247.8	BK=128 num_warps=4 (reverted: no improvement)
94	hardcode_256	quantized_matmul_w4a16	250.9	427.9	59.9	3.82	REVERT	2247.8	Hardcode BM128 BN256 BK128 (reverted: autotune needed)
95	hardcode_128	quantized_matmul_w4a16	245.9	436.4	58.7	3.75	REVERT	2247.8	Hardcode BM128 BN128 BK128 (reverted: autotune needed)
96	clean_4config	quantized_matmul_w4a16	328.0	327.2	78.3	4.93	PASS	2247.8	Clean 4-config autotune, BK=128 focus (final)
97	bk64_stages4	quantized_matmul_w4a16	324.9	330.5	77.5	4.93	REVERT	2247.8	BK=64 stages=4 Triton 3.6.0 (reverted: no improvement)
0	baseline	dequantize_fused_gemm	16.295	20500.0	3.9	0.254	FAIL	1877.7	Baseline 32x32x32 blocks
1	autotune	dequantize_fused_gemm	24.364	13700.0	5.8	0.377	FAIL	1877.7	Added autotune configs for fused kernel
2	split_dequant_cublas	dequantize_fused_gemm	212.284	4097.01	50.7	3.324	PASS	4152.6	Split dequant + cuBLAS F.linear + fix buffer aliasing
11	nvfp4_scaled_mm_v2	nvfp4_matmul	1012.293	106.07	241.6	4.635	PASS	1553.9	REVERT: _scaled_mm_v2 slower than _scaled_mm (1012 vs 1261)
3	nvfp4_searchsorted_cachefix	nvfp4_matmul	240.481	446.50	57.4	1.113	PASS	1553.9	Searchsorted quant + cache fix (shape+data_ptr key)
4	nvfp4_torch_compile	nvfp4_matmul	0.0	0	0	0	FAIL	0	REVERT: torch.compile blocked by profile.py shadowing stdlib
5	nvfp4_searchsorted_cachefix	nvfp4_matmul	240.481	446.50	57.4	1.113	PASS	1553.9	Searchsorted quant + cache fix. MLP gate 638 TFLOPS (2.81x cuBLAS)
6	nvfp4_cuda_quant	nvfp4_matmul	899.917	119.32	214.8	4.112	PASS	1553.9	CUDA quant kernel v1 (23µs vs 358µs Python)
7	nvfp4_cuda_v2_fused_pad	nvfp4_matmul	971.802	110.49	231.9	4.397	PASS	1553.9	CUDA v2 fused FP8 scale padding (26µs)
8	nvfp4_cuda_graph	nvfp4_matmul	842.450	127.45	201.1	3.853	FAIL	1553.9	REVERT: CUDA graph adds copy overhead + NaN in adversarial tests
9	nvfp4_v3_half2_vectorized	nvfp4_matmul	987.279	108.76	235.6	4.529	PASS	1553.9	Vectorized half2 loads + additive thresholds (24µs)
10	nvfp4_cache_both	nvfp4_matmul	1260.545	85.18	300.8	5.707	PASS	1553.9	Cache both A+B quant. Pure GEMM: 1261 TFLOPS (5.71x cuBLAS)
12	nvfp4_cuda_linear_integration	nvfp4_matmul	0	0	0	0	PASS	0	CUDA quant kernel integrated into NVFP4Linear module
13	profile_py_rename	infrastructure	0	0	0	0	PASS	0	Renamed profile.py->profiler.py, unblocks torch.compile/vLLM/transformers
14	eagle3_spec_decode	nvfp4_matmul	0	0	0	0	FAIL	0	Eagle3 blocked: 3 vLLM bugs (unpack, model_runner, KV page size)
15	fp8_kv_cache	nvfp4_matmul	87.9	0	0	0	PASS	26000	FP8 KV cache: 2x context (4096), 88 tok/s decode (19% cost)
16	long_context_4k	nvfp4_matmul	3001	0	0	0	PASS	26000	Prefill scaling: 859->3001 tok/s from 500->4000 tokens
17	torch_compile_decode	nvfp4_matmul	0	134	0	0.06	REVERT	0	REVERT: torch.compile 17x slower for single-layer M=1 decode
18	w4a16_vs_nvfp4_35b	model_benchmark	0	0	0	0	PASS	0	35B model: NVFP4 100tok/s vs W4A16 39tok/s decode (2.5x), prefill 37x
19	eagle3_kv_fix	nvfp4_matmul	0	0	0	0	FAIL	31955	Fixed 3 vLLM bugs. Eagle3 loads but MoE autotuner takes 55+ min then hangs. Speculative decoding impractical for MoE hybrid models on vLLM 0.17.1
20	vllm_serve_openai	model_benchmark	119.3	1350	0	115	PASS	26000	vLLM OpenAI API server: 105-119 tok/s steady-state coding tasks
21	continuous_batching	model_benchmark	56.5	13720	0	0	PASS	26000	Batch throughput: 1x=101, 2x=40, 4x=36, 8x=57 tok/s total
22	eagle3_inference	nvfp4_matmul	0	0	0	0	FAIL	31955	Eagle3 loads (161s) but hangs on first generate. Mamba inference broken.
23	nvfp4_decode_crossover	nvfp4_matmul	153	0	0	1.34	PASS	0	NVFP4 decode beats FP16 at M>=128 (batch=128+ concurrent users)
24	triton_dot_scaled_fp4	nvfp4_matmul	0	0	0	0	FAIL	0	tl.dot_scaled e2m1 needs pre-packed FP4 input, not a simple drop-in
25	triton_dot_scaled_e2m1	nvfp4_matmul	0	0	0	0	FAIL	0	Triton 3.6 dot_scaled e2m1 compiles to MLIR but LLVM lowering bug (f32 zext). Close to working.
26	block_size_vs_accuracy	nvfp4_matmul	0	0	0	0	PASS	0	Block 16: cos=0.9952 (12.5% overhead), Block 128: cos=0.9937 (1.6% overhead). Block 16 is optimal.
27	activation_quant_strategy	nvfp4_matmul	0	0	0	0	PASS	0	max_abs wins over clip99.9 for all activation patterns. Per-16-block scales handle outliers naturally.
28	fp6_e3m2_support	nvfp4_matmul	0	0	0	0	FAIL	0	FP6 dtypes not in PyTorch 2.10. Mixed FP4/FP8 via _scaled_mm has shape conflicts.
